cve_id,cvss_vector
CVE-2023-1000,CVSS:1/AV:N/AC:L/I:C
CVE-2025-1200,CVSS:1/AV:N/AC:L/I:H
CVE-2023-1300,CVSS:1/AV:L/AC:L/I:C
CVE-2025-1500,CVSS:1/AV:N/AC:H/I:H
CVE-2025-1800,CVSS:1/AV:P/AC:H/I:L
CVE-2024-2000,CVSS:1/AV:P/AC:L/I:L
CVE-2023-2200,CVSS:1/AV:P/AC:H/I:H
CVE-2025-2400,CVSS:1/AV:L/AC:H/I:L
CVE-2024-2600,CVSS:1/AV:P/AC:L/I:H
CVE-2023-2800,CVSS:1/AV:P/AC:L/I:C
CVE-2025-3000,CVSS:1/AV:L/AC:L/I:L
CVE-2024-3200,CVSS:1/AV:L/AC:H/I:H
CVE-2023-3400,CVSS:1/AV:L/AC:H/I:C
CVE-2025-3600,CVSS:1/AV:N/AC:H/I:L
CVE-2024-3800,CVSS:1/AV:P/AC:H/I:L
